,station_id,name,lat,lon
100,7104.0,King St E / River St,43.657071,-79.356598
101,7105.0,Queen St E / Sackville St,43.6561111,-79.36138888888888
102,7106.0,Mill St / Tannery Rd,43.652219,-79.354455
103,7107.0,Cherry St / Distillery Ln,43.650279,-79.356832
104,7108.0,Front St E / Cherry St,43.652686,-79.358395
105,7109.0,Seaton St / Dundas St E - SMART,43.658777,-79.369596
106,7110.0,Queen St E / Berkeley St,43.6552778,-79.36583333333333
107,7111.0,King St W / Douro St,43.640885,-79.416379
108,7112.0,Liberty St / Fraser Ave Green P,43.637981,-79.424146
109,7113.0,Parliament St / Aberdeen Ave,43.665278,-79.368333
110,7114.0,Carlton St / Parliament St,43.664524,-79.36793
111,7115.0,Howard St / Sherbourne St,43.6712581,-79.376367
112,7116.0,Parliament St / Bloor St E,43.671827,-79.371849
113,7117.0,Castle Frank Station,43.674083,-79.368579
114,7118.0,King St W / Bay St (East Side),43.648575,-79.380042
115,7119.0,Sumach St / Carlton St. (Riverdale Farm),43.665867,-79.362506
116,7120.0,Gerrard St E / River St,43.663993,-79.358534
117,7121.0,Jarvis St / Dundas St E,43.657266,-79.374756
118,7122.0,Niagara St / Tecumseth St,43.641389,-79.404444
119,7123.0,424 Wellington St W,43.643834,-79.396649
120,7124.0,Dundas St E / Broadview Ave,43.662365,-79.351104
121,7126.0,Yonge St / Yorkville Ave,43.671944,-79.387778
122,7127.0,Bay St / Davenport Rd,43.672829,-79.390592
123,7128.0,Yonge St / Aylmer Ave,43.675492,-79.388858
124,7129.0,Davenport Rd / Avenue Rd,43.674991,-79.396273
125,7130.0,Davenport Rd / Bedford Rd,43.6743985,-79.3986601
126,7131.0,Taddle Creek Park,43.66986,-79.398443
127,7132.0,Kendal Ave / Spadina Rd,43.670318,-79.405181
128,7133.0,Summerhill Station,43.681944,-79.390556
129,7134.0,Marlborough Ave / Yonge St,43.68,-79.391111
130,7135.0,Hanna Ave / Liberty St,43.638333,-79.419722
131,7136.0,Queen St W / Close Ave,43.640634,-79.435841
132,7137.0,Davenport Rd / Bathurst St,43.676667,-79.416111
133,7138.0,Davenport Rd / Christie St,43.675278,-79.423889
134,7139.0,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556
135,7140.0,Macpherson Ave / Spadina Rd,43.675791,-79.40698
136,7141.0,Bridgeman Ave / Kendal Ave,43.675556,-79.410278
137,7142.0,Bridgeman Ave / Bathurst St,43.674444,-79.414722
138,7143.0,Kendal Ave / Bernard Ave,43.671513,-79.408317
139,7144.0,Palmerston Ave / Vermont Ave,43.671389,-79.416389
140,7146.0,Christie St / Benson Ave (Wychwood Barns),43.68,-79.42500000000001
141,7147.0,King St W / Fraser Ave,43.6394444,-79.42527777777778
142,7148.0,King St W / Joe Shuster Way,43.639444,-79.423611
143,7149.0,Yarmouth Rd / Christie St,43.67,-79.42083333333333
144,7150.0,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112
145,7151.0,Essex St / Christie St,43.6686111,-79.42027777777778
146,7152.0,Ossington Ave / Bloor St W,43.661705,-79.425734
147,7153.0,Bloor St W / Christie St,43.6638889,-79.41888888888889
148,7154.0,Bathurst Subway Station,43.6666667,-79.41166666666668
149,7155.0,Bathurst St / Lennox St,43.663808,-79.410491
150,7156.0,Salem Ave / Bloor St W,43.6608333,-79.43166666666667
151,7157.0,Dufferin St / Bloor St,43.66083333333333,-79.43583333333333
152,7158.0,King St W / Stafford St,43.6422222,-79.41111111111111
153,7160.0,King St W / Tecumseth St,43.64333333333333,-79.40555555555557
154,7161.0,Beverley St / College St,43.6575,-79.39527777777778
155,7162.0,Hayter St / Laplante Ave,43.6591666666667,-79.3855555555556
156,7163.0,Yonge St / Wood St,43.6622222,-79.3825
157,7164.0,Gould St / Yonge St (Ryerson University),43.657424,-79.381019
158,7167.0,Queen St E / George St (Moss Park),43.6544444,-79.3711111111111
159,7168.0,Queens Quay / Yonge St,43.641646,-79.375308
160,7169.0,Front St W / Bay St (North Side),43.646162,-79.378912
161,7170.0,Spadina Ave / Willcocks St,43.6616667,-79.40138888888889
162,7171.0,Ontario Place Blvd / Lakeshore Blvd W,43.6322445,-79.4108105
163,7172.0,Strachan Ave / Princes' Blvd,43.635,-79.4088888888889
164,7173.0,Cariboo St / Rail Path,43.66666667,-79.45833333333334
165,7174.0,Bloor St W / Dundas St W,43.6563889,-79.45166666666667
166,7175.0,HTO Park (Queens Quay W),43.63796,-79.387502
167,7176.0,Bathurst St / Fort York Blvd,43.639179,-79.399595
168,7177.0,East Liberty St / Pirandello St,43.6386111111111,-79.4147222222222
169,7178.0,Dundas St W / Edna Ave,43.657192,-79.452559
170,7179.0,Bloor GO / UP Station (West Toronto Railpath),43.6575,-79.4502777777778
171,7180.0,Lansdowne Subway Station,43.6587734,-79.443054
172,7181.0,Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889
173,7182.0,Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556
174,7183.0,St Clarens Ave / College St,43.651238,-79.43868
175,7184.0,Ossington Ave / College St,43.6544915,-79.422634
176,7188.0,Exhibition GO (Atlantic Ave),43.6366666666667,-79.4197222222222
177,7189.0,Augusta Ave / Denison Sq,43.653766,-79.4016759
178,7190.0,St. George St / Hoskin Ave,43.664059,-79.398334
179,7191.0,Central Tech  (Harbord St),43.661975,-79.407896
180,7192.0,Harbord St / Clinton St,43.660414,-79.415646
181,7193.0,Queen St W / Gladstone Ave,43.6430555555556,-79.4275
182,7194.0,Mortimer Ave / Coxwell Ave,43.690564,-79.326319
183,7195.0,Ulster St / Bathurst St,43.66,-79.4088888888889
184,7196.0,Roxton Rd / Harbord St,43.65905,-79.422988
185,7197.0,Queen St W / Dovercourt Rd,43.6436111111111,-79.4225
186,7198.0,Queen St W / Cowan Ave,43.6409,-79.432837
187,7199.0,College St / Markham St,43.6563888888889,-79.4091666666667
188,7202.0,Queen St W / York St (City Hall),43.651667,-79.384167
189,7203.0,Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253
190,7204.0,College St / Crawford St,43.655,-79.418889
191,7205.0,Rusholme Park Cres / College St,43.65277778,-79.42972222
192,7206.0,Claremont St / Dundas St W,43.651281,-79.411717
193,7207.0,Dundas St W / Crawford St,43.649722,-79.416944
194,7208.0,80 Clinton St (North of College),43.656296,-79.414663
195,7209.0,Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889
196,7210.0,Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555
197,7211.0,Fort York Blvd / Garrison Rd,43.6375,-79.40611111111112
198,7216.0,Wellington St W / Stafford St,43.641281,-79.409339
199,7217.0,Soho St / Queen St W,43.6494896,-79.393535
200,7220.0,Lakeshore Blvd W / Ellis Ave,43.635932,-79.465083
201,7221.0,High Park Subway Station,43.6543604,-79.4655296
202,7222.0,Sunnyside - Gus Ryder Pool,43.637894,-79.454823
203,7223.0,Parkside Dr / Bloor St W - SMART,43.654501,-79.460053
204,7224.0,Bloor St W / High Park Ave (High Park),43.6535269,-79.4650569
205,7225.0,Lakeshore Blvd W / Windermere Ave,43.634896,-79.467763
206,7226.0,Lakeshore Blvd W / The Boulevard Club,43.636731,-79.444966
207,7227.0,Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304
208,7228.0,Queen St W / Roncesvalles Ave,43.638399,-79.4464436
209,7229.0,Dundas St W / Roncesvalles Green P - SMART,43.6534268,-79.4512787
210,7230.0,Garden Ave / Roncesvalles Ave,43.643769,-79.447915
211,7231.0,Wright / Sorauren (Sorauren Park) - SMART,43.646677,-79.442741
212,7232.0,Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223
213,7233.0,King / Cowan Ave - SMART,43.637922,-79.431734
214,7234.0,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842
215,7235.0,Bay St / College St (West Side) - SMART,43.660087,-79.385655
216,7236.0,Thompson St / Broadview Ave - SMART,43.659471,-79.350325
217,7237.0,Ward Ave / Wallace Ave,43.662251,-79.446036
218,7238.0,Sorauren/Geoffrey (Sorauren Park) - SMART,43.649172,-79.4445087
219,7239.0,Bloor St W / Manning Ave - SMART,43.663912,-79.416124
220,7240.0,Bloor St W / Shaw Ave - SMART,43.662403,-79.423098
221,7241.0,519 Church St - SMART,43.666805,-79.381288
222,7242.0,Lakeshore Blvd W / Ontario Dr,43.630254,-79.420317
223,7243.0,Exhibition GO Station,43.6356551,-79.4184785
224,7244.0,Dufferin Gate - SMART,43.633473,-79.425679
225,7245.0,Tecumseth St / Queen St W - SMART,43.646552,-79.406468
226,7246.0,Yonge St / Bloor St,43.669969,-79.386532
227,7247.0,Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486
228,7248.0,Baldwin Ave / Spadina Ave - SMART,43.654905,-79.398448
229,7249.0,Dovercourt Rd / Harrison St (Green P) - SMART,43.651145,-79.423742
230,7250.0,St. George St / Russell St - SMART,43.660296,-79.397107
231,7251.0,The Royal Ontario Museum (Bloor St Entrance),43.668561,-79.394403
232,7252.0,Robert St / Bloor St W - SMART,43.665846,-79.404998
233,7253.0,John St  / Mercer St - SMART,43.6461,-79.3895
234,7254.0,Borden St / Bloor St W - SMART,43.665461,-79.40848
235,7255.0,Stewart St / Bathurst St  - SMART,43.643307,-79.402176
236,7256.0,Vanauley St / Queen St W - SMART,43.648437,-79.39838
237,7257.0,Dundas St W / St. Patrick St,43.6545174,-79.3895315
238,7258.0,Queen St E / Larchmount Ave,43.662279,-79.334166
239,7259.0,Lower Spadina Ave / Lakeshore Blvd,43.638497,-79.39192
240,7260.0,Spadina Ave / Adelaide St W,43.646688,-79.395267
241,7261.0,Queens Quay E / Lower Sherbourne St,43.645215,-79.364898
242,7262.0,Wychwood Ave / Benson Ave - SMART,43.6809164,-79.4229684
243,7263.0,Walton St / Elizabeth St - SMART,43.657838,-79.38631
244,7264.0,Bloor St E / Huntley St - SMART,43.671535,-79.379173
245,7265.0,Wallace Ave / Symington Ave - SMART,43.661324,-79.449534
246,7266.0,Victoria Park Subway Station - SMART,43.6940155,-79.2889842
247,7267.0,Dundas St E / Pembroke St - SMART,43.658295,-79.372346
248,7268.0,111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497
249,7269.0,Toronto Eaton Centre (Yonge St),43.655431,-79.380653
250,7270.0,Church St / Dundas St E - SMART,43.657024,-79.377257
251,7271.0,Yonge St / Alexander St - SMART,43.662862,-79.383572
252,7272.0,Yonge St / Dundonald St - SMART,43.665801,-79.384796
253,7273.0,Bay St / Charles St - SMART,43.668153,-79.38891
254,7274.0,Queen's Park Cres E / Grosvenor St - SMART,43.661803,-79.389682
255,7275.0,Queen St W / James St,43.652276,-79.380701
256,7276.0,Bloor St W / Balmuto St,43.669903,-79.387802
257,7277.0,Chorley Park - SMART,43.6856,-79.3718
258,7278.0,Mallon Ave / Jones Ave -SMART,43.66587,-79.33443
259,7279.0,Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906
260,7280.0,Charles St E / Jarvis St - SMART,43.669604,-79.381171
261,7281.0,Charles St W / Balmuto St - SMART,43.668427,-79.38725
262,7282.0,Adelaide St W / Bay St - SMART,43.650152,-79.379856
263,7283.0,Front St W / Bay St (South Side),43.64595,-79.378761
264,7284.0,York St / King St W - SMART,43.648,-79.3834
265,7285.0,Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451
266,7286.0,Gerrard St E / Broadview - SMART,43.665656,-79.352055
267,7287.0,Queen St E / Pape Ave - SMART,43.661673,-79.337789
268,7288.0,Humber Bay Shores Park West,43.6224434,-79.480284
269,7289.0,Humber Bay Shores Park East,43.6308933,-79.4722622
270,7291.0,Lakeshore Blvd E / Parliament St,43.647562,-79.36138
271,7292.0,Granby St / Church St - SMART,43.6605302,-79.3787235
272,7293.0,College St / McCaul St,43.65906,-79.393771
273,7296.0,Westmoreland Ave / Fernbank Ave,43.665327,-79.43235
274,7297.0,Havelock St / Dufferin Park,43.657343,-79.43112
275,7298.0,Bathurst St / Adelaide St W,43.645324,-79.40345
276,7299.0,Mill St / Parliament St,43.650256,-79.36163
277,7301.0,Primrose Ave / Davenport Rd,43.67142,-79.445947
278,7302.0,Winona Dr / Davenport Rd,43.674923,-79.430465
279,7303.0,Queen St. E / Woodward Av,43.665269,-79.319796
